date,industry,api_requests,p95_latency_ms,new_enterprise_customers_daily,revenue_usd,marketing_spend_usd,gross_margin_pct,data_quality_flag
2026-01-01,Finance,1209304,375,0,38697.73,98028.05,0.6837,OK
2026-01-01,Healthcare,707563,454,0,18396.64,98028.05,0.6837,OK
2026-01-01,Retail,587870,503,0,12345.27,98028.05,0.6837,OK
2026-01-01,SaaS,732032,432,0,17568.77,98028.05,0.6837,OK
2026-01-01,PublicSector,456827,571,0,8222.89,98028.05,0.6837,OK
2026-01-01,Manufacturing,476629,496,0,9532.58,98028.05,0.6837,OK
2026-01-02,Finance,1162677,397,0,37205.66,97615.41,0.6921,OK
2026-01-02,Healthcare,650683,463,0,16917.76,97615.41,0.6921,OK
2026-01-02,Retail,556294,515,0,11682.17,97615.41,0.6921,OK
2026-01-02,SaaS,671666,437,0,16119.98,97615.41,0.6921,OK
2026-01-02,PublicSector,402865,560,0,7251.57,97615.41,0.6921,OK
2026-01-02,Manufacturing,421434,514,0,8428.68,97615.41,0.6921,OK
2026-01-03,Finance,916036,415,0,29313.15,102535.5,0.683,OK
2026-01-03,Healthcare,528330,456,0,13736.58,102535.5,0.683,OK
2026-01-03,Retail,474606,509,0,9966.73,102535.5,0.683,OK
2026-01-03,SaaS,592033,441,0,14208.79,102535.5,0.683,OK
2026-01-03,PublicSector,360853,547,0,6495.35,102535.5,0.683,OK
2026-01-03,Manufacturing,365356,499,0,7307.12,102535.5,0.683,OK
2026-01-04,Finance,1054200,412,0,33734.4,95772.73,0.6921,OK
2026-01-04,Healthcare,486027,449,0,12636.7,95772.73,0.6921,OK
2026-01-04,Retail,451024,524,0,9471.5,95772.73,0.6921,OK
2026-01-04,SaaS,600312,432,0,14407.49,95772.73,0.6921,OK
2026-01-04,PublicSector,298647,557,0,5375.65,95772.73,0.6921,OK
2026-01-04,Manufacturing,407660,520,0,8153.2,95772.73,0.6921,OK
2026-01-05,Finance,1079953,384,0,34558.5,96876.89,0.6831,OK
2026-01-05,Healthcare,586359,451,0,15245.33,96876.89,0.6831,OK
2026-01-05,Retail,468325,523,1,9834.82,96876.89,0.6831,OK
2026-01-05,SaaS,711261,440,0,17070.26,96876.89,0.6831,OK
2026-01-05,PublicSector,396148,544,0,7130.66,96876.89,0.6831,OK
2026-01-05,Manufacturing,427719,521,0,8554.38,96876.89,0.6831,OK
2026-01-06,Finance,1232358,410,0,39435.46,84733.25,0.6889,OK
2026-01-06,Healthcare,683486,459,0,17770.64,84733.25,0.6889,OK
2026-01-06,Retail,581506,534,0,12211.63,84733.25,0.6889,OK
2026-01-06,SaaS,747521,442,0,17940.5,84733.25,0.6889,OK
2026-01-06,PublicSector,488695,568,0,8796.51,84733.25,0.6889,OK
2026-01-06,Manufacturing,493172,500,0,9863.44,84733.25,0.6889,OK
2026-01-07,Finance,1235625,411,0,39540.0,83458.53,0.6727,OK
2026-01-07,Healthcare,614415,464,0,15974.79,83458.53,0.6727,OK
2026-01-07,Retail,594593,517,0,12486.45,83458.53,0.6727,OK
2026-01-07,SaaS,726803,444,0,17443.27,83458.53,0.6727,OK
2026-01-07,PublicSector,407353,573,0,7332.35,83458.53,0.6727,OK
2026-01-07,Manufacturing,499649,494,0,9992.98,83458.53,0.6727,OK
2026-01-08,Finance,1427400,418,0,45676.8,90284.67,0.6882,OK
2026-01-08,Healthcare,683338,464,0,17766.79,90284.67,0.6882,OK
2026-01-08,Retail,601139,507,0,12623.92,90284.67,0.6882,OK
2026-01-08,SaaS,767051,441,0,18409.22,90284.67,0.6882,OK
2026-01-08,PublicSector,449526,553,0,8091.47,90284.67,0.6882,OK
2026-01-08,Manufacturing,498018,501,0,9960.36,90284.67,0.6882,OK
2026-01-09,Finance,1136996,391,0,36383.87,76611.07,0.6697,OK
2026-01-09,Healthcare,569013,435,0,14794.34,76611.07,0.6697,OK
2026-01-09,Retail,561982,513,0,11801.62,76611.07,0.6697,OK
2026-01-09,SaaS,780339,458,0,18728.14,76611.07,0.6697,OK
2026-01-09,PublicSector,389537,551,0,7011.67,76611.07,0.6697,OK
2026-01-09,Manufacturing,429175,486,0,8583.5,76611.07,0.6697,OK
2026-01-10,Finance,965788,421,0,30905.22,79279.27,0.6927,OK
2026-01-10,Healthcare,512718,458,0,13330.67,79279.27,0.6927,OK
2026-01-10,Retail,477751,513,0,10032.77,79279.27,0.6927,OK
2026-01-10,SaaS,596403,416,0,14313.67,79279.27,0.6927,OK
2026-01-10,PublicSector,344664,559,0,6203.95,79279.27,0.6927,OK
2026-01-10,Manufacturing,331965,502,0,6639.3,79279.27,0.6927,OK
2026-01-11,Finance,1044220,412,0,33415.04,77482.48,0.6825,OK
2026-01-11,Healthcare,518178,446,0,13472.63,77482.48,0.6825,OK
2026-01-11,Retail,451305,506,0,9477.41,77482.48,0.6825,OK
2026-01-11,SaaS,583411,437,0,14001.86,77482.48,0.6825,OK
2026-01-11,PublicSector,355900,551,0,6406.2,77482.48,0.6825,OK
2026-01-11,Manufacturing,365780,500,0,7315.6,77482.48,0.6825,OK
2026-01-12,Finance,968281,394,0,30984.99,84772.98,0.6878,OK
2026-01-12,Healthcare,599556,470,0,15588.46,84772.98,0.6878,OK
2026-01-12,Retail,543191,531,0,11407.01,84772.98,0.6878,OK
2026-01-12,SaaS,722766,438,0,17346.38,84772.98,0.6878,OK
2026-01-12,PublicSector,379849,573,0,6837.28,84772.98,0.6878,OK
2026-01-12,Manufacturing,484847,504,0,9696.94,84772.98,0.6878,OK
2026-01-13,Finance,1189504,402,0,38064.13,82245.99,0.6815,OK
2026-01-13,Healthcare,670251,462,0,17426.53,82245.99,0.6815,OK
2026-01-13,Retail,643230,514,0,13507.83,82245.99,0.6815,OK
2026-01-13,SaaS,713125,447,0,17115.0,82245.99,0.6815,OK
2026-01-13,PublicSector,458589,590,0,8254.6,82245.99,0.6815,OK
2026-01-13,Manufacturing,468021,488,1,9360.42,82245.99,0.6815,OK
2026-01-14,Finance,1145161,413,0,36645.15,88975.79,0.6839,OK
2026-01-14,Healthcare,692233,451,0,17998.06,88975.79,0.6839,OK
2026-01-14,Retail,569895,493,0,11967.8,88975.79,0.6839,OK
2026-01-14,SaaS,780460,418,0,18731.04,88975.79,0.6839,OK
2026-01-14,PublicSector,432986,581,0,7793.75,88975.79,0.6839,OK
2026-01-14,Manufacturing,468066,501,0,9361.32,88975.79,0.6839,OK
2026-01-15,Finance,1342304,407,0,42953.73,93851.62,0.6857,OK
2026-01-15,Healthcare,681006,464,0,17706.16,93851.62,0.6857,OK
2026-01-15,Retail,547810,508,1,11504.01,93851.62,0.6857,OK
2026-01-15,SaaS,845019,435,0,20280.46,93851.62,0.6857,OK
2026-01-15,PublicSector,409042,570,0,7362.76,93851.62,0.6857,OK
2026-01-15,Manufacturing,490913,484,0,9818.26,93851.62,0.6857,OK
2026-01-16,Finance,1165350,388,0,37291.2,91984.56,0.6861,OK
2026-01-16,Healthcare,648749,465,0,16867.47,91984.56,0.6861,OK
2026-01-16,Retail,591428,498,0,12419.99,91984.56,0.6861,OK
2026-01-16,SaaS,746266,450,0,17910.38,91984.56,0.6861,OK
2026-01-16,PublicSector,408436,563,0,7351.85,91984.56,0.6861,OK
2026-01-16,Manufacturing,404674,497,0,8093.48,91984.56,0.6861,OK
2026-01-17,Finance,831278,409,1,26600.9,101402.55,0.6789,OK
2026-01-17,Healthcare,500915,473,0,13023.79,101402.55,0.6789,OK
2026-01-17,Retail,451428,519,0,9479.99,101402.55,0.6789,OK
2026-01-17,SaaS,603660,441,0,14487.84,101402.55,0.6789,OK
2026-01-17,PublicSector,322609,548,0,5806.96,101402.55,0.6789,OK
2026-01-17,Manufacturing,407892,497,0,8157.84,101402.55,0.6789,OK
2026-01-18,Finance,952220,393,0,30471.04,100657.76,0.6832,OK
2026-01-18,Healthcare,545823,457,0,14191.4,100657.76,0.6832,OK
2026-01-18,Retail,444179,520,0,9327.76,100657.76,0.6832,OK
2026-01-18,SaaS,576462,425,0,13835.09,100657.76,0.6832,OK
2026-01-18,PublicSector,352626,568,0,6347.27,100657.76,0.6832,OK
2026-01-18,Manufacturing,393981,493,0,7879.62,100657.76,0.6832,OK
2026-01-19,Finance,1183155,404,0,37860.96,96067.81,0.6803,OK
2026-01-19,Healthcare,612413,452,0,15922.74,96067.81,0.6803,OK
2026-01-19,Retail,558456,511,0,11727.58,96067.81,0.6803,OK
2026-01-19,SaaS,592340,411,0,14216.16,96067.81,0.6803,OK
2026-01-19,PublicSector,433598,560,0,7804.76,96067.81,0.6803,OK
2026-01-19,Manufacturing,422191,498,1,8443.82,96067.81,0.6803,OK
2026-01-20,Finance,1252027,408,0,40064.86,88069.49,0.6877,OK
2026-01-20,Healthcare,674267,439,0,17530.94,88069.49,0.6877,OK
2026-01-20,Retail,540283,503,0,11345.94,88069.49,0.6877,OK
2026-01-20,SaaS,759904,442,0,18237.7,88069.49,0.6877,OK
2026-01-20,PublicSector,423225,556,0,7618.05,88069.49,0.6877,OK
2026-01-20,Manufacturing,495749,485,0,9914.98,88069.49,0.6877,OK
2026-01-21,Finance,1247806,392,0,39929.79,83128.99,0.6861,OK
2026-01-21,Healthcare,735141,452,0,19113.67,83128.99,0.6861,OK
2026-01-21,Retail,563823,517,0,11840.28,83128.99,0.6861,OK
2026-01-21,SaaS,757764,412,0,18186.34,83128.99,0.6861,OK
2026-01-21,PublicSector,434999,546,0,7829.98,83128.99,0.6861,OK
2026-01-21,Manufacturing,489065,524,1,9781.3,83128.99,0.6861,OK
2026-01-22,Finance,1249825,406,0,39994.4,86553.89,0.6822,OK
2026-01-22,Healthcare,658834,471,0,17129.68,86553.89,0.6822,OK
2026-01-22,Retail,579725,530,0,12174.23,86553.89,0.6822,OK
2026-01-22,SaaS,764310,431,0,18343.44,86553.89,0.6822,OK
2026-01-22,PublicSector,433483,567,0,7802.69,86553.89,0.6822,OK
2026-01-22,Manufacturing,502960,507,1,10059.2,86553.89,0.6822,OK
2026-01-23,Finance,1191981,404,2,38143.39,78046.83,0.6824,OK
2026-01-23,Healthcare,694329,457,0,18052.55,78046.83,0.6824,OK
2026-01-23,Retail,528965,514,0,11108.27,78046.83,0.6824,OK
2026-01-23,SaaS,769875,432,0,18477.0,78046.83,0.6824,OK
2026-01-23,PublicSector,384757,551,0,6925.63,78046.83,0.6824,OK
2026-01-23,Manufacturing,466752,510,0,9335.04,78046.83,0.6824,OK
2026-01-24,Finance,994746,412,0,31831.87,75661.05,0.6823,OK
2026-01-24,Healthcare,456079,463,0,11858.05,75661.05,0.6823,OK
2026-01-24,Retail,471468,517,0,9900.83,75661.05,0.6823,OK
2026-01-24,SaaS,578196,425,0,13876.7,75661.05,0.6823,OK
2026-01-24,PublicSector,331247,553,1,5962.45,75661.05,0.6823,OK
