date,api_requests_total_observed,data_quality_flag,note
2026-01-01,4170225.0,OK,
2026-01-02,3865619.0,OK,
2026-01-03,3237214.0,OK,
2026-01-04,3297870.0,OK,
2026-01-05,3669765.0,OK,
2026-01-06,4226738.0,OK,
2026-01-07,4078438.0,OK,
2026-01-08,4426472.0,OK,
2026-01-09,3867042.0,OK,
2026-01-10,3229289.0,OK,
2026-01-11,3318794.0,OK,
2026-01-12,3698490.0,OK,
2026-01-13,4142720.0,OK,
2026-01-14,4088801.0,OK,
2026-01-15,4316094.0,OK,
2026-01-16,3964903.0,OK,
2026-01-17,3117782.0,OK,
2026-01-18,3265291.0,OK,
2026-01-19,3802153.0,OK,
2026-01-20,4145455.0,OK,
2026-01-21,4228598.0,OK,
2026-01-22,4189137.0,OK,
2026-01-23,4036659.0,OK,
2026-01-24,3218042.0,OK,
2026-01-25,3282470.0,OK,
2026-01-26,3900386.0,OK,
2026-01-27,4233747.0,OK,
2026-01-28,4262841.0,OK,
2026-01-29,4108864.0,OK,
2026-01-30,3881301.0,OK,
2026-01-31,3319503.0,OK,
2026-02-01,3192471.0,OK,
2026-02-02,3877394.0,OK,
2026-02-03,4778122.0,OK,
2026-02-04,4413130.0,OK,
2026-02-05,4829458.0,OK,
2026-02-06,4166978.0,OK,
2026-02-07,3565326.0,OK,
2026-02-08,3628292.0,OK,
2026-02-09,4227693.0,OK,
2026-02-10,4897513.0,OK,
2026-02-11,4884067.0,OK,
2026-02-12,5149148.0,OK,
2026-02-13,4451299.0,OK,
2026-02-14,3599711.0,OK,
2026-02-15,3584522.0,OK,
2026-02-16,4265872.0,OK,
2026-02-17,4794003.0,OK,
2026-02-18,,MISSING,Instrumentation outage: metrics missing
2026-02-19,,MISSING,Instrumentation outage: metrics missing
2026-02-20,,MISSING,Instrumentation outage: metrics missing
2026-02-21,3762801.0,BACKFILLED,Backfilled estimate (reconstructed)
2026-02-22,3654162.0,OK,
2026-02-23,4173753.0,OK,
2026-02-24,4644452.0,OK,
2026-02-25,4690874.0,OK,
2026-02-26,4636873.0,OK,
2026-02-27,4474328.0,OK,
2026-02-28,3588556.0,OK,
2026-03-01,3763523.0,OK,
2026-03-02,4192954.0,OK,
2026-03-03,4709571.0,OK,
2026-03-04,4703711.0,OK,
2026-03-05,5158159.0,OK,
2026-03-06,4769861.0,OK,
2026-03-07,3756222.0,OK,
2026-03-08,4050058.0,OK,
2026-03-09,4297531.0,OK,
2026-03-10,5199451.0,OK,
2026-03-11,5104981.0,OK,
2026-03-12,5194597.0,OK,
2026-03-13,4790263.0,OK,
2026-03-14,3875115.0,OK,
2026-03-15,4137517.0,OK,
2026-03-16,4498696.0,OK,
2026-03-17,5103015.0,OK,
2026-03-18,5172033.0,OK,
2026-03-19,5164687.0,OK,
2026-03-20,4980826.0,OK,
2026-03-21,3371230.0,OK,
2026-03-22,3375468.0,OK,
2026-03-23,4033608.0,OK,
2026-03-24,5128800.0,OK,
2026-03-25,4966996.0,OK,
2026-03-26,5150308.0,OK,
2026-03-27,4594730.0,OK,
2026-03-28,3925260.0,OK,
2026-03-29,3895529.0,OK,
2026-03-30,4651454.0,OK,
2026-03-31,5159140.0,OK,
2026-04-01,5208248.0,OK,
2026-04-02,4913965.0,OK,
2026-04-03,4799578.0,OK,
2026-04-04,3909756.0,OK,
2026-04-05,3895657.0,OK,
2026-04-06,4494088.0,OK,
2026-04-07,5398233.0,OK,
2026-04-08,5092178.0,OK,
2026-04-09,5437947.0,OK,
2026-04-10,4916394.0,OK,
2026-04-11,4034265.0,OK,
2026-04-12,4085958.0,OK,
2026-04-13,4576579.0,OK,
2026-04-14,5386785.0,OK,
2026-04-15,5213868.0,OK,
2026-04-16,5151551.0,OK,
2026-04-17,4946021.0,OK,
2026-04-18,4179057.0,OK,
2026-04-19,4110291.0,OK,
2026-04-20,4652067.0,OK,
2026-04-21,5280898.0,OK,
2026-04-22,5181461.0,OK,
2026-04-23,5424988.0,OK,
2026-04-24,5043542.0,OK,
2026-04-25,4011470.0,OK,
2026-04-26,4055252.0,OK,
2026-04-27,4844124.0,OK,
2026-04-28,5282116.0,OK,
2026-04-29,5342203.0,OK,
2026-04-30,5304228.0,OK,
2026-05-01,4829588.0,OK,
2026-05-02,4119181.0,OK,
2026-05-03,4067539.0,OK,
2026-05-04,4828686.0,OK,
2026-05-05,5415322.0,OK,
2026-05-06,5088676.0,OK,
2026-05-07,5409114.0,OK,
2026-05-08,5133434.0,OK,
2026-05-09,4031530.0,OK,
2026-05-10,4212983.0,OK,
2026-05-11,4862479.0,OK,
2026-05-12,5563668.0,OK,
2026-05-13,5558775.0,OK,
2026-05-14,5314484.0,OK,
2026-05-15,4711664.0,OK,
2026-05-16,4080566.0,OK,
2026-05-17,4108616.0,OK,
2026-05-18,4879399.0,OK,
2026-05-19,5382172.0,OK,
2026-05-20,5311364.0,OK,
2026-05-21,5635957.0,OK,
2026-05-22,4862653.0,OK,
2026-05-23,4397243.0,OK,
2026-05-24,4197705.0,OK,
2026-05-25,4942283.0,OK,
2026-05-26,5237991.0,OK,
2026-05-27,5210805.0,OK,
2026-05-28,5485919.0,OK,
2026-05-29,5225182.0,OK,
2026-05-30,4190605.0,OK,
2026-05-31,4221502.0,OK,
2026-06-01,4786374.0,OK,
2026-06-02,5231844.0,OK,
2026-06-03,5428029.0,OK,
2026-06-04,5405397.0,OK,
2026-06-05,5160711.0,OK,
2026-06-06,4180822.0,OK,
2026-06-07,4037027.0,OK,
2026-06-08,4870089.0,OK,
2026-06-09,5321408.0,OK,
2026-06-10,5551056.0,OK,
2026-06-11,5872726.0,OK,
2026-06-12,5116554.0,OK,
2026-06-13,4373650.0,OK,
2026-06-14,4525098.0,OK,
2026-06-15,5031530.0,OK,
2026-06-16,5884384.0,OK,
2026-06-17,5723593.0,OK,
2026-06-18,5684702.0,OK,
2026-06-19,5297612.0,OK,
2026-06-20,4319099.0,OK,
2026-06-21,4215459.0,OK,
2026-06-22,5075673.0,OK,
2026-06-23,5431845.0,OK,
2026-06-24,5539320.0,OK,
2026-06-25,6039791.0,OK,
2026-06-26,5417622.0,OK,
2026-06-27,4285082.0,OK,
2026-06-28,4324969.0,OK,
2026-06-29,5471132.0,OK,
2026-06-30,5582811.0,OK,
