date,event_type,label,forecast_requests_mean,forecast_requests_p10,forecast_requests_p90
2026-02-03,LAUNCH,Released Retrieval v2 for enterprise search,,,
2026-02-10,CAMPAIGN,Partner webinar drove Finance adoption spike,,,
2026-03-05,PRICING,Pricing update: reduced overage penalties,,,
2026-03-21,INCIDENT,Latency incident: vector DB throttling (credits issued),,,
2026-04-01,FORECAST_POINT,,4859847.0,4792882.0,4927747.0
2026-04-01,FORECAST_START,Forecast starts (seasonality + uncertainty band),4859847.0,4792882.0,4927747.0
2026-04-02,FORECAST_POINT,,4816469.0,4722880.0,4911913.0
2026-04-03,FORECAST_POINT,,4815526.0,4701177.0,4932656.0
2026-04-04,FORECAST_POINT,,4725955.0,4596613.0,4858937.0
2026-04-05,FORECAST_POINT,,4734393.0,4589761.0,4883582.0
2026-04-06,FORECAST_POINT,,4780135.0,4620403.0,4945388.0
2026-04-07,FORECAST_POINT,,4924445.0,4746947.0,5108580.0
2026-04-08,FORECAST_POINT,,4918810.0,4729512.0,5115684.0
2026-04-09,FORECAST_POINT,,4874906.0,4676153.0,5082107.0
2026-04-10,FORECAST_POINT,,4873951.0,4664722.0,5092565.0
2026-04-11,FORECAST_POINT,,4783294.0,4568163.0,5008557.0
2026-04-12,FORECAST_POINT,,4791834.0,4566964.0,5027776.0
2026-04-13,FORECAST_POINT,,4838131.0,4602048.0,5086325.0
2026-04-14,FORECAST_POINT,,4984192.0,4732037.0,5249784.0
2026-04-15,FORECAST_POINT,,4978489.0,4718017.0,5253340.0
2026-04-16,FORECAST_POINT,,4934052.0,4667672.0,5215635.0
2026-04-17,FORECAST_POINT,,4933086.0,4658793.0,5223528.0
2026-04-18,FORECAST_POINT,,4841329.0,4564561.0,5134878.0
2026-04-19,FORECAST_POINT,,4849972.0,4565340.0,5152349.0
2026-04-20,FORECAST_POINT,,4896831.0,4602213.0,5210310.0
2026-04-21,FORECAST_POINT,,5044664.0,4733892.0,5375838.0
2026-04-22,FORECAST_POINT,,5038891.0,4721405.0,5377727.0
2026-04-23,FORECAST_POINT,,4993916.0,4672424.0,5337529.0
2026-04-24,FORECAST_POINT,,4992938.0,4664828.0,5344126.0
2026-04-25,FORECAST_POINT,,4900067.0,4571648.0,5252080.0
2026-04-26,FORECAST_POINT,,4908815.0,4573522.0,5268690.0
2026-04-27,FORECAST_POINT,,4956243.0,4611491.0,5326769.0
2026-04-28,FORECAST_POINT,,5105870.0,4744429.0,5494847.0
2026-04-29,FORECAST_POINT,,5100027.0,4732845.0,5495696.0
2026-04-30,FORECAST_POINT,,5054506.0,4684613.0,5453605.0
2026-05-01,FORECAST_POINT,,5053516.0,4677816.0,5459390.0
2026-05-02,FORECAST_POINT,,4959519.0,4585135.0,5364471.0
2026-05-03,FORECAST_POINT,,4968373.0,4587735.0,5380592.0
2026-05-04,FORECAST_POINT,,5016376.0,4626511.0,5439093.0
2026-05-05,FORECAST_POINT,,5167818.0,4760557.0,5609920.0
2026-05-06,FORECAST_POINT,,5161904.0,4749576.0,5610029.0
2026-05-07,FORECAST_POINT,,5115831.0,4701781.0,5566344.0
2026-05-08,FORECAST_POINT,,5114829.0,4695537.0,5571562.0
2026-05-09,FORECAST_POINT,,5019691.0,4603049.0,5474046.0
2026-05-10,FORECAST_POINT,,5028653.0,4606179.0,5489876.0
2026-05-11,FORECAST_POINT,,5077238.0,4645616.0,5548963.0
2026-05-12,CAMPAIGN,Conference week: Retail and SaaS leads surged,,,
2026-05-12,FORECAST_POINT,,5230518.0,4780714.0,5722644.0
2026-05-13,FORECAST_POINT,,5224532.0,4770164.0,5722181.0
2026-05-14,FORECAST_POINT,,5177900.0,4722617.0,5677075.0
2026-05-15,FORECAST_POINT,,5176886.0,4716784.0,5681869.0
2026-05-16,FORECAST_POINT,,5080594.0,4624291.0,5581923.0
2026-05-17,FORECAST_POINT,,5089664.0,4627836.0,5597580.0
2026-05-18,FORECAST_POINT,,5138839.0,4667848.0,5657354.0
2026-05-19,FORECAST_POINT,,5293979.0,4803980.0,5833956.0
2026-05-20,FORECAST_POINT,,5287920.0,4793754.0,5833029.0
2026-05-21,FORECAST_POINT,,5240722.0,4746330.0,5786612.0
2026-05-22,FORECAST_POINT,,5239696.0,4740815.0,5791074.0
2026-05-23,FORECAST_POINT,,5142236.0,4648182.0,5688802.0
2026-05-24,FORECAST_POINT,,5151416.0,4652066.0,5704366.0
2026-05-25,FORECAST_POINT,,5201187.0,4692601.0,5764895.0
2026-05-26,FORECAST_POINT,,5358209.0,4829769.0,5944468.0
2026-05-27,FORECAST_POINT,,5352078.0,4819791.0,5943149.0
2026-05-28,FORECAST_POINT,,5304307.0,4772403.0,5895494.0
2026-05-29,FORECAST_POINT,,5303268.0,4767142.0,5899687.0
2026-05-30,FORECAST_POINT,,5204625.0,4674266.0,5795161.0
2026-05-31,FORECAST_POINT,,5213917.0,4678436.0,5810687.0
2026-06-01,FORECAST_POINT,,5264292.0,4719461.0,5872021.0
