date,forecast_mean,forecast_p10,forecast_p90
2026-04-01,4952338,4655794,5267771
2026-04-02,5072813,4648625,5535708
2026-04-03,4752487,4270446,5288939
2026-04-04,3862950,3414177,4370712
2026-04-05,3910260,3405980,4489204
2026-04-06,4529881,3894035,5269551
2026-04-07,5118507,4347037,6026890
2026-04-08,5000421,4199116,5954637
2026-04-09,5122065,4255939,6164456
2026-04-10,4798629,3947442,5833357
2026-04-11,3900456,3178154,4786916
2026-04-12,3948226,3187915,4889869
2026-04-13,4573862,3660956,5714411
2026-04-14,5168203,4102053,6511454
2026-04-15,5048971,3975051,6413025
2026-04-16,5171796,4039942,6620756
2026-04-17,4845219,3756176,6250013
2026-04-18,3938326,3030670,5117816
2026-04-19,3986559,3045843,5217818
2026-04-20,4618270,3503902,6087046
2026-04-21,5218382,3932303,6925080
2026-04-22,5097992,3816087,6810515
2026-04-23,5222009,3883559,7021750
2026-04-24,4892262,3615230,6620389
2026-04-25,3976564,2920284,5414904
2026-04-26,4025265,2938031,5514837
2026-04-27,4663109,3383239,6427151
2026-04-28,5269048,3800426,7305199
2026-04-29,5147489,3691338,7178058
2026-04-30,5272710,3759703,7394593
2026-05-01,4939761,3502658,6966494
2026-05-02,4015172,2831437,5693792
2026-05-03,4064347,2850633,5794823
2026-05-04,4708384,3284776,6748976
2026-05-05,5320206,3692151,7666150
2026-05-06,5197466,3588329,7528198
2026-05-07,5323904,3656886,7750843
2026-05-08,4987722,3408740,7298114
2026-05-09,4054156,2756964,5961696
2026-05-10,4103808,2777053,6064428
2026-05-11,4754098,3201536,7059564
2026-05-12,5371860,3600257,8015227
2026-05-13,5247929,3500580,7867484
2026-05-14,5375594,3568992,8096688
2026-05-15,5036148,3328186,7620605
2026-05-16,4093518,2692886,6222652
2026-05-17,4143652,2713553,6327445
2026-05-18,4800256,3129492,7363003
2026-05-19,5424016,3520506,8356740
2026-05-20,5298881,3424227,8199850
2026-05-21,5427786,3492321,8435897
2026-05-22,5085045,3257751,7937281
2026-05-23,4133263,2636729,6479187
2026-05-24,4183884,2657779,6586281
2026-05-25,4846862,3066082,7661919
2026-05-26,5476678,3450170,8693487
2026-05-27,5350329,3356757,8527880
2026-05-28,5480485,3424445,8770974
2026-05-29,5134416,3195282,8250361
2026-05-30,4173393,2586837,6733013
2026-05-31,4224505,2608146,6842580
2026-06-01,4893921,3009561,7958124
2026-06-02,5529852,3387378,9027414
2026-06-03,5402276,3296433,8853382
2026-06-04,5533696,3363669,9103686
2026-06-05,5184267,3139269,8561426
2026-06-06,4213913,2542041,6985356
2026-06-07,4265521,2563522,7097529
2026-06-08,4941436,2958681,8252932
2026-06-09,5583542,3330783,9359943
2026-06-10,5454727,3241997,9177690
2026-06-11,5587423,3308762,9435341
2026-06-12,5234601,3088608,8871650
2026-06-13,4254826,2501480,7237134
2026-06-14,4306936,2523075,7352019
2026-06-15,4989413,2912515,8547337
2026-06-16,5637753,3279380,9692156
2026-06-17,5507687,3192507,9501819
2026-06-18,5641672,3258795,9766942
2026-06-19,5285425,3042463,9181941
2026-06-20,4296137,2464501,7489057
2026-06-21,4348752,2486168,7606747
2026-06-22,5037856,2870353,8842116
2026-06-23,5692490,3232395,10024902
2026-06-24,5561162,3147234,9826572
2026-06-25,5696447,3213050,10099285
2026-06-26,5336741,3000184,9493019
2026-06-27,4337848,2430596,7741694
2026-06-28,4390975,2452302,7862268
2026-06-29,5086769,2831638,9137896
2026-06-30,5747759,3189223,10358867
