date,api_requests_total,event_type,event_label
2024-07-01,49701,,
2024-07-02,46918,,
2024-07-03,47387,,
2024-07-04,50057,,
2024-07-05,51285,,
2024-07-06,50238,,
2024-07-07,49557,,
2024-07-08,58468,,
2024-07-09,52967,,
2024-07-10,54718,,
2024-07-11,53323,,
2024-07-12,52579,,
2024-07-13,51893,,
2024-07-14,55080,,
2024-07-15,52440,,
2024-07-16,49908,,
2024-07-17,53490,,
2024-07-18,58866,,
2024-07-19,54064,,
2024-07-20,55321,,
2024-07-21,59136,,
2024-07-22,60003,,
2024-07-23,52676,,
2024-07-24,59725,,
2024-07-25,57255,,
2024-07-26,58852,,
2024-07-27,53540,,
2024-07-28,57905,,
2024-07-29,63239,,
2024-07-30,59605,,
2024-07-31,57314,,
2024-08-01,58250,,
2024-08-02,67955,,
2024-08-03,59002,,
2024-08-04,57848,,
2024-08-05,66058,,
2024-08-06,61530,,
2024-08-07,63069,,
2024-08-08,61206,,
2024-08-09,66310,,
2024-08-10,62422,,
2024-08-11,67450,,
2024-08-12,66046,,
2024-08-13,64978,,
2024-08-14,63538,,
2024-08-15,69427,,
2024-08-16,65509,,
2024-08-17,64878,,
2024-08-18,63581,,
2024-08-19,75050,,
2024-08-20,66393,,
2024-08-21,64986,,
2024-08-22,70971,,
2024-08-23,70235,,
2024-08-24,66799,,
2024-08-25,71477,,
2024-08-26,75211,,
2024-08-27,75256,,
2024-08-28,80844,,
2024-08-29,71898,,
2024-08-30,78942,,
2024-08-31,69479,,
2024-09-01,73717,,
2024-09-02,66369,,
2024-09-03,74410,,
2024-09-04,79458,,
2024-09-05,81618,,
2024-09-06,77976,,
2024-09-07,70933,,
2024-09-08,79352,,
2024-09-09,86766,,
2024-09-10,73203,,
2024-09-11,81282,,
2024-09-12,83544,,
2024-09-13,83674,,
2024-09-14,72830,,
2024-09-15,80219,,
2024-09-16,84135,,
2024-09-17,83061,,
2024-09-18,88554,,
2024-09-19,89481,,
2024-09-20,84172,,
2024-09-21,89053,,
2024-09-22,78499,,
2024-09-23,97404,,
2024-09-24,83568,,
2024-09-25,95677,,
2024-09-26,84678,,
2024-09-27,92769,,
2024-09-28,90267,,
2024-09-29,84036,,
2024-09-30,95615,,
2024-10-01,88337,,
2024-10-02,90804,,
2024-10-03,94708,,
2024-10-04,95166,,
2024-10-05,92614,,
2024-10-06,93919,,
2024-10-07,110678,,
2024-10-08,101286,,
2024-10-09,98124,,
2024-10-10,98116,,
2024-10-11,98709,,
2024-10-12,95974,,
2024-10-13,92279,,
2024-10-14,109849,,
2024-10-15,102875,,
2024-10-16,97510,,
2024-10-17,98768,,
2024-10-18,107906,,
2024-10-19,100702,,
2024-10-20,96423,,
2024-10-21,100623,,
2024-10-22,101382,,
2024-10-23,108956,,
2024-10-24,105663,,
2024-10-25,99583,,
2024-10-26,105853,,
2024-10-27,91509,,
2024-10-28,106304,,
2024-10-29,119820,,
2024-10-30,116059,,
2024-10-31,100456,,
2024-11-01,109039,,
2024-11-02,103313,,
2024-11-03,114240,,
2024-11-04,117354,,
2024-11-05,124344,,
2024-11-06,121089,,
2024-11-07,121371,,
2024-11-08,112142,,
2024-11-09,110407,,
2024-11-10,111165,,
2024-11-11,112400,,
2024-11-12,130083,,
2024-11-13,124682,,
2024-11-14,111989,,
2024-11-15,129926,,
2024-11-16,113343,,
2024-11-17,123891,,
2024-11-18,122467,,
2024-11-19,120232,,
2024-11-20,120609,,
2024-11-21,118643,,
2024-11-22,124802,,
2024-11-23,113400,,
2024-11-24,127724,,
2024-11-25,126475,,
2024-11-26,131144,,
2024-11-27,136212,,
2024-11-28,126185,,
2024-11-29,124569,,
2024-11-30,141685,,
2024-12-01,119018,,
2024-12-02,132208,,
2024-12-03,142481,,
2024-12-04,143132,,
2024-12-05,138455,,
2024-12-06,133193,,
2024-12-07,144747,,
2024-12-08,141298,,
2024-12-09,144620,,
2024-12-10,145156,,
2024-12-11,154031,,
2024-12-12,158148,,
2024-12-13,150050,,
2024-12-14,143176,,
2024-12-15,148929,,
2024-12-16,134562,,
2024-12-17,166753,,
2024-12-18,144906,,
2024-12-19,153750,,
2024-12-20,160975,,
2024-12-21,148267,,
2024-12-22,160377,,
2024-12-23,176803,,
2024-12-24,160842,,
2024-12-25,167570,,
2024-12-26,167547,,
2024-12-27,173896,,
2024-12-28,156545,,
2024-12-29,156422,,
2024-12-30,164697,,
2024-12-31,168884,,
2025-01-01,177902,,
2025-01-02,160722,,
2025-01-03,178140,,
2025-01-04,162482,,
2025-01-05,162188,,
2025-01-06,159047,,
2025-01-07,167343,,
2025-01-08,186308,,
2025-01-09,172603,,
2025-01-10,193407,,
2025-01-11,163097,,
2025-01-12,160694,,
2025-01-13,184922,,
2025-01-14,174048,,
2025-01-15,189471,,
2025-01-16,196129,,
2025-01-17,191963,,
2025-01-18,179441,,
2025-01-19,171745,,
2025-01-20,196259,,
2025-01-21,197428,,
2025-01-22,191193,,
2025-01-23,193505,,
2025-01-24,190538,,
2025-01-25,189998,,
2025-01-26,189773,,
2025-01-27,198312,,
2025-01-28,206288,,
2025-01-29,209479,,
2025-01-30,208242,,
2025-01-31,206478,,
2025-02-01,194673,,
2025-02-02,207178,,
2025-02-03,210591,,
2025-02-04,223675,,
2025-02-05,219140,,
2025-02-06,233800,,
2025-02-07,215695,,
2025-02-08,205979,,
2025-02-09,212933,,
2025-02-10,224565,,
2025-02-11,221750,,
2025-02-12,224612,,
2025-02-13,232762,,
2025-02-14,226928,,
2025-02-15,222599,PRICING,Pricing update reduced friction
2025-02-16,229530,,
2025-02-17,274323,,
2025-02-18,247329,,
2025-02-19,255340,,
2025-02-20,254980,,
2025-02-21,256559,,
2025-02-22,249002,,
2025-02-23,264774,,
2025-02-24,266297,,
2025-02-25,261677,,
2025-02-26,270290,,
2025-02-27,278804,,
2025-02-28,251376,,
2025-03-01,283451,,
2025-03-02,246383,,
2025-03-03,282133,,
2025-03-04,300830,,
2025-03-05,294962,,
2025-03-06,301233,,
2025-03-07,295476,,
2025-03-08,268843,,
2025-03-09,306549,,
2025-03-10,350385,,
2025-03-11,305331,,
2025-03-12,301915,,
2025-03-13,302160,,
2025-03-14,303846,,
2025-03-15,288506,,
2025-03-16,307054,,
2025-03-17,298591,,
2025-03-18,334833,,
2025-03-19,298863,,
2025-03-20,292051,,
2025-03-21,307947,,
2025-03-22,302745,,
2025-03-23,297620,,
2025-03-24,323968,,
2025-03-25,315592,,
2025-03-26,314312,,
2025-03-27,320786,,
