month,api_requests_total
2024-01-01,107948
2024-02-01,107654
2024-03-01,152178
2024-04-01,212793
2024-05-01,175013
2024-06-01,207235
2024-07-01,329627
2024-08-01,337674
2024-09-01,332195
2024-10-01,449533
2024-11-01,466824
2024-12-01,552653
2025-01-01,706162
2025-02-01,521035
2025-03-01,632663
2025-04-01,837413
2025-05-01,1221055
2025-06-01,1809459
2025-07-01,1934672
2025-08-01,2202617
2025-09-01,3227243
2025-10-01,3362929
2025-11-01,4051543
2025-12-01,4324820
2026-01-01,5419048
2026-02-01,6672795
2026-03-01,7277967
2026-04-01,9439512
2026-05-01,10502358
2026-06-01,12627667
